DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Santa Catarina
Casos Prováveis por Município de notificação e Ano 1º Sintoma(s)
Ano 1º Sintoma(s): 2018, 2019, 2020, 2021
Período:2018-2021
"Município de notificação";"2018";"2019";"2020";"2021";"Total"
" MUNICIPIO IGNORADO - SC";-;-;-;-;-
"420005 ABDON BATISTA";-;-;-;-;-
"420010 ABELARDO LUZ";-;-;19;5;24
"420020 AGROLANDIA";-;-;-;-;-
"420030 AGRONOMICA";-;-;-;-;-
"420040 AGUA DOCE";-;-;1;-;1
"420050 AGUAS DE CHAPECO";-;-;26;-;26
"420055 AGUAS FRIAS";-;-;1;-;1
"420060 AGUAS MORNAS";-;-;-;-;-
"420070 ALFREDO WAGNER";-;-;-;-;-
"420075 ALTO BELA VISTA";-;-;-;3;3
"420080 ANCHIETA";-;1;9;1;11
"420090 ANGELINA";-;1;2;-;3
"420100 ANITA GARIBALDI";-;-;-;-;-
"420110 ANITAPOLIS";-;-;-;-;-
"420120 ANTONIO CARLOS";-;-;-;1;1
"420125 APIUNA";-;-;-;-;-
"420127 ARABUTA";-;-;-;-;-
"420130 ARAQUARI";-;-;24;63;87
"420140 ARARANGUA";-;-;1;-;1
"420150 ARMAZEM";-;-;-;-;-
"420160 ARROIO TRINTA";-;-;-;-;-
"420165 ARVOREDO";-;-;-;-;-
"420170 ASCURRA";-;-;-;-;-
"420180 ATALANTA";-;-;-;-;-
"420190 AURORA";-;-;-;-;-
"420195 BALNEARIO ARROIO DO SILVA";-;-;-;-;-
"420200 BALNEARIO CAMBORIU";33;352;443;521;1349
"420205 BALNEARIO BARRA DO SUL";2;-;-;36;38
"420207 BALNEARIO GAIVOTA";-;-;-;-;-
"420208 BANDEIRANTE";-;-;-;-;-
"420209 BARRA BONITA";-;-;-;-;-
"420210 BARRA VELHA";1;1;-;7;9
"420213 BELA VISTA DO TOLDO";-;-;-;-;-
"420215 BELMONTE";-;1;-;2;3
"420220 BENEDITO NOVO";-;-;-;-;-
"420230 BIGUACU";1;4;1;2;8
"420240 BLUMENAU";2;44;30;54;130
"420243 BOCAINA DO SUL";-;-;-;-;-
"420245 BOMBINHAS";-;21;138;19;178
"420250 BOM JARDIM DA SERRA";-;-;-;-;-
"420253 BOM JESUS";-;-;1;-;1
"420257 BOM JESUS DO OESTE";-;2;-;-;2
"420260 BOM RETIRO";-;-;-;-;-
"420270 BOTUVERA";-;1;2;1;4
"420280 BRACO DO NORTE";1;2;-;-;3
"420285 BRACO DO TROMBUDO";-;-;-;-;-
"420287 BRUNOPOLIS";-;-;-;-;-
"420290 BRUSQUE";2;16;50;20;88
"420300 CACADOR";-;1;-;1;2
"420310 CAIBI";4;2;31;-;37
"420315 CALMON";-;-;-;-;-
"420320 CAMBORIU";-;333;40;217;590
"420325 CAPAO ALTO";-;-;-;-;-
"420330 CAMPO ALEGRE";-;1;-;8;9
"420340 CAMPO BELO DO SUL";-;-;-;-;-
"420350 CAMPO ERE";1;1;6;17;25
"420360 CAMPOS NOVOS";-;1;-;-;1
"420370 CANELINHA";-;4;4;-;8
"420380 CANOINHAS";1;1;3;-;5
"420390 CAPINZAL";-;-;-;-;-
"420395 CAPIVARI DE BAIXO";1;-;-;-;1
"420400 CATANDUVAS";1;-;1;-;2
"420410 CAXAMBU DO SUL";-;-;2;-;2
"420415 CELSO RAMOS";-;-;-;-;-
"420417 CERRO NEGRO";-;-;-;-;-
"420419 CHAPADAO DO LAGEADO";-;-;-;-;-
"420420 CHAPECO";5;17;162;69;253
"420425 COCAL DO SUL";-;-;-;-;-
"420430 CONCORDIA";1;3;1;45;50
"420435 CORDILHEIRA ALTA";-;-;2;2;4
"420440 CORONEL FREITAS";-;-;84;2;86
"420445 CORONEL MARTINS";-;-;-;-;-
"420450 CORUPA";-;-;-;-;-
"420455 CORREIA PINTO";-;-;-;-;-
"420460 CRICIUMA";-;5;4;3;12
"420470 CUNHA PORA";3;34;9;6;52
"420475 CUNHATAI";-;-;1;-;1
"420480 CURITIBANOS";-;2;-;-;2
"420490 DESCANSO";-;-;1;5;6
"420500 DIONISIO CERQUEIRA";-;-;17;1;18
"420510 DONA EMMA";-;-;-;-;-
"420515 DOUTOR PEDRINHO";-;-;-;-;-
"420517 ENTRE RIOS";-;-;3;-;3
"420519 ERMO";-;-;-;-;-
"420520 ERVAL VELHO";-;-;-;-;-
"420530 FAXINAL DOS GUEDES";1;1;-;-;2
"420535 FLOR DO SERTAO";1;-;2;2;5
"420540 FLORIANOPOLIS";21;102;195;288;606
"420543 FORMOSA DO SUL";-;-;46;3;49
"420545 FORQUILHINHA";-;-;-;-;-
"420550 FRAIBURGO";-;1;2;1;4
"420555 FREI ROGERIO";-;-;-;-;-
"420560 GALVAO";-;-;-;-;-
"420570 GAROPABA";2;2;-;1;5
"420580 GARUVA";2;-;7;17;26
"420590 GASPAR";-;1;3;4;8
"420600 GOVERNADOR CELSO RAMOS";-;-;-;-;-
"420610 GRAO PARA";-;-;-;-;-
"420620 GRAVATAL";-;1;-;-;1
"420630 GUABIRUBA";1;1;1;3;6
"420640 GUARACIABA";-;2;2;1;5
"420650 GUARAMIRIM";-;1;8;8;17
"420660 GUARUJA DO SUL";-;-;2;-;2
"420665 GUATAMBU";-;-;3;-;3
"420670 HERVAL D'OESTE";1;-;-;1;2
"420675 IBIAM";-;-;-;-;-
"420680 IBICARE";-;-;-;-;-
"420690 IBIRAMA";-;-;3;-;3
"420700 ICARA";1;-;-;-;1
"420710 ILHOTA";1;1;2;1;5
"420720 IMARUI";-;-;-;1;1
"420730 IMBITUBA";2;3;1;-;6
"420740 IMBUIA";-;-;-;-;-
"420750 INDAIAL";-;1;5;9;15
"420757 IOMERE";-;-;-;-;-
"420760 IPIRA";-;-;-;1;1
"420765 IPORA DO OESTE";3;1;3;1;8
"420768 IPUACU";-;-;15;1;16
"420770 IPUMIRIM";-;-;-;-;-
"420775 IRACEMINHA";-;-;-;-;-
"420780 IRANI";-;-;-;-;-
"420785 IRATI";-;-;7;1;8
"420790 IRINEOPOLIS";-;-;-;-;-
"420800 ITA";-;-;-;3;3
"420810 ITAIOPOLIS";-;-;-;-;-
"420820 ITAJAI";10;102;266;418;796
"420830 ITAPEMA";22;638;86;36;782
"420840 ITAPIRANGA";1;-;5;2;8
"420845 ITAPOA";-;9;6;5;20
"420850 ITUPORANGA";-;2;-;1;3
"420860 JABORA";-;-;-;-;-
"420870 JACINTO MACHADO";-;-;-;-;-
"420880 JAGUARUNA";-;-;1;-;1
"420890 JARAGUA DO SUL";-;7;26;13;46
"420895 JARDINOPOLIS";-;-;-;1;1
"420900 JOACABA";2;2;-;-;4
"420910 JOINVILLE";5;20;8757;16447;25229
"420915 JOSE BOITEUX";-;-;-;-;-
"420917 JUPIA";-;-;-;-;-
"420920 LACERDOPOLIS";-;-;-;-;-
"420930 LAGES";-;5;1;-;6
"420940 LAGUNA";-;-;2;-;2
"420945 LAJEADO GRANDE";-;-;-;-;-
"420950 LAURENTINO";-;-;-;-;-
"420960 LAURO MULLER";-;-;-;-;-
"420970 LEBON REGIS";-;-;-;-;-
"420980 LEOBERTO LEAL";-;-;-;-;-
"420985 LINDOIA DO SUL";-;-;-;-;-
"420990 LONTRAS";-;-;-;1;1
"421000 LUIZ ALVES";-;-;1;-;1
"421003 LUZERNA";-;-;-;-;-
"421005 MACIEIRA";-;-;-;-;-
"421010 MAFRA";-;1;1;4;6
"421020 MAJOR GERCINO";1;-;-;-;1
"421030 MAJOR VIEIRA";-;-;-;-;-
"421040 MARACAJA";2;-;-;-;2
"421050 MARAVILHA";-;13;133;3;149
"421055 MAREMA";-;-;-;-;-
"421060 MASSARANDUBA";-;1;-;2;3
"421070 MATOS COSTA";-;-;-;-;-
"421080 MELEIRO";-;-;-;-;-
"421085 MIRIM DOCE";-;-;-;-;-
"421090 MODELO";-;-;-;-;-
"421100 MONDAI";1;-;18;2;21
"421105 MONTE CARLO";-;-;-;-;-
"421110 MONTE CASTELO";-;-;-;-;-
"421120 MORRO DA FUMACA";-;-;-;-;-
"421125 MORRO GRANDE";-;-;-;-;-
"421130 NAVEGANTES";3;45;272;707;1027
"421140 NOVA ERECHIM";-;-;4;4;8
"421145 NOVA ITABERABA";-;3;4;1;8
"421150 NOVA TRENTO";-;3;-;-;3
"421160 NOVA VENEZA";-;-;-;-;-
"421165 NOVO HORIZONTE";-;-;-;-;-
"421170 ORLEANS";-;1;-;-;1
"421175 OTACILIO COSTA";-;-;-;-;-
"421180 OURO";-;-;-;-;-
"421185 OURO VERDE";-;-;-;-;-
"421187 PAIAL";-;-;-;-;-
"421189 PAINEL";-;-;-;-;-
"421190 PALHOCA";-;8;2;30;40
"421200 PALMA SOLA";-;1;18;9;28
"421205 PALMEIRA";-;-;-;-;-
"421210 PALMITOS";-;3;20;1;24
"421220 PAPANDUVA";-;1;-;1;2
"421223 PARAISO";-;-;-;-;-
"421225 PASSO DE TORRES";-;-;-;-;-
"421227 PASSOS MAIA";-;-;-;-;-
"421230 PAULO LOPES";-;-;-;-;-
"421240 PEDRAS GRANDES";-;-;-;-;-
"421250 PENHA";-;1;10;38;49
"421260 PERITIBA";-;-;-;-;-
"421265 PESCARIA BRAVA";-;-;-;1;1
"421270 PETROLANDIA";-;-;-;-;-
"421280 BALNEARIO PICARRAS";-;2;3;41;46
"421290 PINHALZINHO";-;2;20;8;30
"421300 PINHEIRO PRETO";-;-;-;-;-
"421310 PIRATUBA";-;-;-;-;-
"421315 PLANALTO ALEGRE";-;1;1;-;2
"421320 POMERODE";-;1;1;3;5
"421330 PONTE ALTA";-;-;-;-;-
"421335 PONTE ALTA DO NORTE";-;-;-;-;-
"421340 PONTE SERRADA";-;-;-;-;-
"421350 PORTO BELO";13;158;20;9;200
"421360 PORTO UNIAO";1;-;2;-;3
"421370 POUSO REDONDO";-;-;-;1;1
"421380 PRAIA GRANDE";-;-;-;-;-
"421390 PRESIDENTE CASTELLO BRANCO";-;-;-;1;1
"421400 PRESIDENTE GETULIO";-;-;-;-;-
"421410 PRESIDENTE NEREU";-;-;-;-;-
"421415 PRINCESA";-;1;3;-;4
"421420 QUILOMBO";-;-;-;1;1
"421430 RANCHO QUEIMADO";-;-;-;-;-
"421440 RIO DAS ANTAS";-;-;-;-;-
"421450 RIO DO CAMPO";-;-;-;1;1
"421460 RIO DO OESTE";-;-;-;-;-
"421470 RIO DOS CEDROS";-;-;-;-;-
"421480 RIO DO SUL";-;1;1;3;5
"421490 RIO FORTUNA";1;-;-;1;2
"421500 RIO NEGRINHO";-;1;-;-;1
"421505 RIO RUFINO";-;-;-;-;-
"421507 RIQUEZA";-;1;8;4;13
"421510 RODEIO";-;-;-;-;-
"421520 ROMELANDIA";1;-;-;-;1
"421530 SALETE";-;-;2;-;2
"421535 SALTINHO";-;-;-;-;-
"421540 SALTO VELOSO";-;-;-;-;-
"421545 SANGAO";-;-;-;-;-
"421550 SANTA CECILIA";-;-;-;-;-
"421555 SANTA HELENA";-;-;-;50;50
"421560 SANTA ROSA DE LIMA";-;1;-;-;1
"421565 SANTA ROSA DO SUL";-;-;-;-;-
"421567 SANTA TEREZINHA";-;1;-;-;1
"421568 SANTA TEREZINHA DO PROGRESSO";-;-;1;-;1
"421569 SANTIAGO DO SUL";-;-;-;-;-
"421570 SANTO AMARO DA IMPERATRIZ";1;1;-;1;3
"421575 SAO BERNARDINO";-;-;1;1;2
"421580 SAO BENTO DO SUL";-;2;2;3;7
"421590 SAO BONIFACIO";-;1;-;3;4
"421600 SAO CARLOS";-;-;117;3;120
"421605 SAO CRISTOVAO DO SUL";-;-;-;-;-
"421610 SAO DOMINGOS";-;-;-;-;-
"421620 SAO FRANCISCO DO SUL";-;-;18;11;29
"421625 SAO JOAO DO OESTE";-;-;-;-;-
"421630 SAO JOAO BATISTA";-;6;2;-;8
"421635 SAO JOAO DO ITAPERIU";-;-;1;-;1
"421640 SAO JOAO DO SUL";-;-;-;-;-
"421650 SAO JOAQUIM";-;-;-;-;-
"421660 SAO JOSE";1;18;12;79;110
"421670 SAO JOSE DO CEDRO";1;1;21;4;27
"421680 SAO JOSE DO CERRITO";-;-;-;-;-
"421690 SAO LOURENCO DO OESTE";1;1;7;12;21
"421700 SAO LUDGERO";-;-;-;-;-
"421710 SAO MARTINHO";-;-;-;-;-
"421715 SAO MIGUEL DA BOA VISTA";-;-;-;-;-
"421720 SAO MIGUEL DO OESTE";-;4;147;11;162
"421725 SAO PEDRO DE ALCANTARA";-;-;-;-;-
"421730 SAUDADES";-;1;7;-;8
"421740 SCHROEDER";-;-;2;2;4
"421750 SEARA";7;4;1;11;23
"421755 SERRA ALTA";-;-;-;-;-
"421760 SIDEROPOLIS";-;-;-;-;-
"421770 SOMBRIO";-;1;1;2;4
"421775 SUL BRASIL";-;-;2;-;2
"421780 TAIO";-;-;2;-;2
"421790 TANGARA";-;-;-;-;-
"421795 TIGRINHOS";-;-;-;-;-
"421800 TIJUCAS";2;5;254;4;265
"421810 TIMBE DO SUL";-;-;-;1;1
"421820 TIMBO";-;1;-;2;3
"421825 TIMBO GRANDE";-;-;-;-;-
"421830 TRES BARRAS";-;-;1;1;2
"421835 TREVISO";-;-;-;-;-
"421840 TREZE DE MAIO";-;-;-;-;-
"421850 TREZE TILIAS";-;-;-;-;-
"421860 TROMBUDO CENTRAL";1;-;2;-;3
"421870 TUBARAO";1;8;5;3;17
"421875 TUNAPOLIS";2;1;-;6;9
"421880 TURVO";-;-;-;-;-
"421885 UNIAO DO OESTE";-;-;-;-;-
"421890 URUBICI";-;-;-;-;-
"421895 URUPEMA";-;-;-;-;-
"421900 URUSSANGA";1;-;-;-;1
"421910 VARGEAO";-;-;1;-;1
"421915 VARGEM";-;-;-;-;-
"421917 VARGEM BONITA";-;-;-;-;-
"421920 VIDAL RAMOS";-;-;-;1;1
"421930 VIDEIRA";-;3;2;1;6
"421935 VITOR MEIRELES";-;-;-;-;-
"421940 WITMARSUM";-;-;-;-;-
"421950 XANXERE";1;3;7;5;16
"421960 XAVANTINA";-;-;-;-;-
"421970 XAXIM";-;3;13;8;24
"421985 ZORTEA";-;-;-;-;-
"422000 BALNEARIO RINCAO";-;-;-;-;-
"Total";177;2069;11749;19483;33478
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 30/01/2023, sujeitos a revisão.
 * Dados disponibilizados no TABNET em maio de 2023
 
