id;municipio;2018;2019;2020;2021
420005;ABDON BATISTA;0;0;0;0
420010;ABELARDO LUZ;0;0;19;5
420020;AGROLANDIA;0;0;0;0
420030;AGRONOMICA;0;0;0;0
420040;AGUA DOCE;0;0;1;0
420050;AGUAS DE CHAPECO;0;0;26;0
420055;AGUAS FRIAS;0;0;1;0
420060;AGUAS MORNAS;0;0;0;0
420070;ALFREDO WAGNER;0;0;0;0
420075;ALTO BELA VISTA;0;0;0;3
420080;ANCHIETA;0;1;9;1
420090;ANGELINA;0;1;2;0
420100;ANITA GARIBALDI;0;0;0;0
420110;ANITAPOLIS;0;0;0;0
420120;ANTONIO CARLOS;0;0;0;1
420125;APIUNA;0;0;0;0
420127;ARABUTA;0;0;0;0
420130;ARAQUARI;0;0;24;63
420140;ARARANGUA;0;0;1;0
420150;ARMAZEM;0;0;0;0
420160;ARROIO TRINTA;0;0;0;0
420165;ARVOREDO;0;0;0;0
420170;ASCURRA;0;0;0;0
420180;ATALANTA;0;0;0;0
420190;AURORA;0;0;0;0
420195;BALNEARIO ARROIO DO SILVA;0;0;0;0
420200;BALNEARIO CAMBORIU;33;352;443;521
420205;BALNEARIO BARRA DO SUL;2;0;0;36
420207;BALNEARIO GAIVOTA;0;0;0;0
420208;BANDEIRANTE;0;0;0;0
420209;BARRA BONITA;0;0;0;0
420210;BARRA VELHA;1;1;0;7
420213;BELA VISTA DO TOLDO;0;0;0;0
420215;BELMONTE;0;1;0;2
420220;BENEDITO NOVO;0;0;0;0
420230;BIGUACU;1;4;1;2
420240;BLUMENAU;2;44;30;54
420243;BOCAINA DO SUL;0;0;0;0
420245;BOMBINHAS;0;21;138;19
420250;BOM JARDIM DA SERRA;0;0;0;0
420253;BOM JESUS;0;0;1;0
420257;BOM JESUS DO OESTE;0;2;0;0
420260;BOM RETIRO;0;0;0;0
420270;BOTUVERA;0;1;2;1
420280;BRACO DO NORTE;1;2;0;0
420285;BRACO DO TROMBUDO;0;0;0;0
420287;BRUNOPOLIS;0;0;0;0
420290;BRUSQUE;2;16;50;20
420300;CACADOR;0;1;0;1
420310;CAIBI;4;2;31;0
420315;CALMON;0;0;0;0
420320;CAMBORIU;0;333;40;217
420325;CAPAO ALTO;0;0;0;0
420330;CAMPO ALEGRE;0;1;0;8
420340;CAMPO BELO DO SUL;0;0;0;0
420350;CAMPO ERE;1;1;6;17
420360;CAMPOS NOVOS;0;1;0;0
420370;CANELINHA;0;4;4;0
420380;CANOINHAS;1;1;3;0
420390;CAPINZAL;0;0;0;0
420395;CAPIVARI DE BAIXO;1;0;0;0
420400;CATANDUVAS;1;0;1;0
420410;CAXAMBU DO SUL;0;0;2;0
420415;CELSO RAMOS;0;0;0;0
420417;CERRO NEGRO;0;0;0;0
420419;CHAPADAO DO LAGEADO;0;0;0;0
420420;CHAPECO;5;17;162;69
420425;COCAL DO SUL;0;0;0;0
420430;CONCORDIA;1;3;1;45
420435;CORDILHEIRA ALTA;0;0;2;2
420440;CORONEL FREITAS;0;0;84;2
420445;CORONEL MARTINS;0;0;0;0
