id;municipio;2018;2019;2020;2021
420005;ABDON BATISTA;2577;2563;2548;2534
420010;ABELARDO LUZ;17847;17904;17960;18015
420020;AGROLANDIA;10711;10864;11013;11160
420030;AGRONOMICA;5385;5448;5509;5570
420040;AGUA DOCE;7138;7145;7152;7160
420050;AGUAS DE CHAPECO;6455;6486;6515;6544
420055;AGUAS FRIAS;2378;2366;2354;2341
420060;AGUAS MORNAS;6378;6469;6559;6646
420070;ALFREDO WAGNER;9984;10036;10086;10136
420075;ALTO BELA VISTA;1948;1937;1926;1915
420080;ANCHIETA;5721;5638;5557;5477
420090;ANGELINA;4860;4801;4743;4686
420100;ANITA GARIBALDI;7313;7133;6957;6783
420110;ANITAPOLIS;3236;3232;3228;3223
420120;ANTONIO CARLOS;8411;8513;8613;8712
420125;APIUNA;10636;10743;10848;10951
420127;ARABUTA;4266;4267;4267;4268
420130;ARAQUARI;36710;38129;39524;40890
420140;ARARANGUA;67578;68228;68867;69493
420150;ARMAZEM;8587;8674;8759;8843
420160;ARROIO TRINTA;3551;3550;3549;3547
420165;ARVOREDO;2246;2240;2234;2228
420170;ASCURRA;7889;7934;7978;8021
420180;ATALANTA;3226;3210;3195;3179
420190;AURORA;5676;5679;5683;5687
420195;BALNEARIO ARROIO DO SILVA;12705;13071;13430;13782
420200;BALNEARIO CAMBORIU;138732;142295;145796;149227
420205;BALNEARIO BARRA DO SUL;10550;10795;11035;11271
420207;BALNEARIO GAIVOTA;10692;10979;11260;11537
420208;BANDEIRANTE;2708;2678;2648;2618
420209;BARRA BONITA;1704;1677;1651;1625
420210;BARRA VELHA;28463;29168;29860;30539
420213;BELA VISTA DO TOLDO;6311;6337;6362;6386
420215;BELMONTE;2703;2706;2709;2712
420220;BENEDITO NOVO;11526;11652;11775;11896
420230;BIGUACU;67458;68481;69486;70471
420240;BLUMENAU;352460;357199;361855;366418
420243;BOCAINA DO SUL;3460;3474;3488;3501
420245;BOMBINHAS;19193;19769;20335;20889
420250;BOM JARDIM DA SERRA;4712;4743;4772;4801
420253;BOM JESUS;2961;3010;3057;3104
420257;BOM JESUS DO OESTE;2146;2142;2139;2136
420260;BOM RETIRO;9870;9966;10060;10153
420270;BOTUVERA;5169;5246;5322;5396
420280;BRACO DO NORTE;33016;33450;33876;34294
420285;BRACO DO TROMBUDO;3718;3743;3769;3794
420287;BRUNOPOLIS;2473;2420;2368;2318
420290;BRUSQUE;131703;134723;137689;140597
420300;CACADOR;77863;78595;79313;80017
420310;CAIBI;6167;6148;6130;6112
420315;CALMON;3357;3346;3335;3325
420320;CAMBORIU;80834;82989;85105;87179
420325;CAPAO ALTO;2556;2525;2496;2467
420330;CAMPO ALEGRE;11974;11978;11981;11985
